px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
8.46292	0.243462	-3.04035	0	0	8.46292	0.243462	8.6	0.25	-3.00029	0	0
8.44521	0.251375	-3.02712	-2.45556e-05	-1.50218e-05	8.44818	0.251553	8.45	0.25	-3.00027	0	0.0179914
8.46578	0.249324	-0.176883	-0.00272153	-0.005627	8.56759	0.241943	8.45	0.25	0	0	4.37363
8.45649	0.251387	-0.177176	-0.00337212	-0.00618574	8.45582	0.253997	8.45	0.25	0	0	0.000562684
8.367	0.253899	-1.05832	-0.024189	-0.0384622	8.42544	0.254042	8.35	0.25	-1.81979	0	15.0386
8.28859	0.253683	-1.07333	-0.0256249	-0.036919	8.23962	0.24916	8.25	0.25	-1.81978	0	0.154879
8.08343	0.245914	-2.15021	0.0272434	0.109901	7.93286	0.188391	8.05	0.2	-3.99976	-0.99994	51.6853
7.94657	0.22069	-2.17782	0.0710836	0.185643	7.84073	0.159858	7.85	0.15	-3.99972	-0.99993	0.879058
7.77427	0.225234	-2.54802	0.00205473	0.0318687	7.61269	0.155818	7.7	0.15	-2.99982	0	9.51267
7.62971	0.199905	-2.5728	0.0585006	0.129516	7.54016	0.159641	7.55	0.15	-2.99982	0	0.564493
7.52192	0.160114	-2.41419	0.139723	0.255329	7.50815	0.0953827	7.45	0.100001	-1.8165	-0.908239	2.21234
7.38718	0.0915453	-2.4312	0.247842	0.402729	7.3426	0.0345312	7.35	0.0500011	-1.81648	-0.90823	0.37591
7.23093	0.0914995	-2.5727	0.178589	0.24518	7.20598	0.00492725	7.2	9.49949e-07	-2.72851	-0.909507	1.99822
7.08933	0.0133239	-2.60174	0.27296	0.359228	7.05406	-0.0533413	7.05	-0.0499992	-2.72849	-0.909499	0.417067
6.98656	-0.107795	-2.44479	0.447269	0.601767	6.74585	-0.143185	6.95	-0.15	-1.81898	-1.81898	4.57888
6.86684	-0.203797	-2.47008	0.528594	0.664826	6.84972	-0.258748	6.85	-0.25	-1.81896	-1.81897	0.237222
6.75722	-0.281098	-2.49454	0.575037	0.678334	6.66966	-0.346668	6.75	-0.349999	-2.00076	-2.00075	0.236789
6.65422	-0.386731	-2.53064	0.649873	0.727359	6.64329	-0.462604	6.65	-0.449999	-2.00076	-2.00075	0.383898
6.61067	-0.560379	-2.43521	0.872272	1.02419	6.60862	-0.557035	6.6	-0.549999	-0.998836	-1.99769	6.39509
6.5396	-0.654315	-2.42894	0.923989	1.0251	6.56029	-0.650892	6.55	-0.65	-0.99884	-1.99769	0.0234077
6.49746	-0.835004	-2.43763	1.11496	1.23678	6.40696	-0.842921	6.5	-0.85	-0.908747	-3.63498	3.52747
