px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
0	0	0	0	0	0	0	0	0	0	0	0
0.0270934	-0.0270934	0	0	0	0	0	0	0	0	0	1.76678
1.54716	-0.126712	1.70564	1.38778e-17	-2.77556e-17	1.55945	-0.138501	2.09897	0.0522228	2.19595	0.109339	0.89474
1.62614	0.0198125	2.37415	-0.0468356	-0.0512095	1.81209	0.0474826	2.09897	0.0522228	2.19595	0.109339	2.58756
3.88374	-0.131677	2.82818	-0.24023	-0.129708	3.89093	-0.134166	4.29136	0.215312	2.28434	0.226323	0.355344
3.95199	0.0723916	2.62589	0.035326	0.0159061	4.19528	0.218461	4.29136	0.215312	2.28434	0.226323	4.02324
6.83929	0.409144	3.94019	0.292145	0.162469	6.86352	0.416817	6.56942	0.496096	2.36382	0.348847	1.0445
6.72465	0.441749	3.0957	0.478862	0.421686	6.43926	0.472879	6.56942	0.496096	2.36382	0.348847	3.00951
9.08034	0.611305	2.29599	0.116657	-0.0885461	9.07733	0.593211	8.92437	0.89924	2.43359	0.474526	1.17337
9.05304	0.682426	2.61317	0.183367	-0.047886	8.89749	0.886982	8.92437	0.89924	2.43359	0.474526	1.26623
11.5667	1.65887	3.19087	0.475812	0.16982	11.5756	1.6669	11.3468	1.427	2.49328	0.600781	0.367968
11.5337	1.62513	2.87047	0.491298	0.217889	11.4447	1.42958	11.3468	1.427	2.49328	0.600781	0.63899
13.5936	2.32057	2.43793	0.314495	-0.031895	13.5921	2.31191	13.827	2.07905	2.5429	0.724947	0.285872
13.6147	2.29028	2.63141	0.289256	-0.0635123	13.6572	1.99915	13.827	2.07905	2.5429	0.724947	0.686771
16.6227	2.90216	3.80804	0.0415565	-0.180586	16.6456	2.903	16.3554	2.85243	2.58284	0.844365	0.970027
16.5396	2.8818	3.08867	0.00199587	-0.245919	16.282	2.84648	16.3554	2.85243	2.58284	0.844365	1.68431
19.0117	3.69539	2.91779	0.37739	0.147176	19.0106	3.70555	18.923	3.74161	2.61382	0.95648	0.537506
19.0774	3.71838	2.74535	0.426094	0.195401	19.363	3.87122	18.923	3.74161	2.61382	0.95648	1.39458
21.3252	4.73305	2.9924	0.440236	0.0785676	21.3312	4.73205	21.5215	4.73855	2.63679	1.05891	0.0886899
21.3804	4.74273	3.03235	0.429279	0.0746452	21.6213	4.74762	21.5215	4.73855	2.63679	1.05891	0.767881
24.068	5.57071	3.46446	0.197815	-0.119441	24.0787	5.56967	24.1437	5.83295	2.65286	1.14953	0.268071
24.1629	5.5983	3.32515	0.171074	-0.141726	24.5601	5.92334	24.1437	5.83295	2.65286	1.14953	3.04866
26.6092	6.9524	3.17407	0.608705	0.226567	26.6052	6.96102	26.7833	7.01246	2.6632	1.22647	0.467272
26.5965	6.94637	3.28114	0.592232	0.203536	26.5419	6.90075	26.7833	7.01246	2.6632	1.22647	0.0722971
29.5712	8.08872	3.75315	0.253507	-0.148399	29.5864	8.08789	29.4352	8.26299	2.66893	1.28822	0.672703
29.5422	8.07413	3.30893	0.234981	-0.16892	29.4716	8.24519	29.4352	8.26299	2.66893	1.28822	0.530269
31.9455	9.86875	3.24032	0.809383	0.306357	31.9416	9.88017	32.0955	9.56901	2.67105	1.33358	0.756163
31.9013	9.84621	3.28022	0.787337	0.278376	31.7928	9.49891	32.0955	9.56901	2.67105	1.33358	0.678681
34.6077	10.7129	2.58055	0.196828	-0.285411	34.6157	10.6988	34.7608	10.9139	2.67035	1.3617	1.34692
34.715	10.7651	3.04431	0.193703	-0.262252	35.0599	10.9953	34.7608	10.9139	2.67035	1.3617	2.70665
37.1407	12.0769	3.08327	0.595325	0.160674	37.1404	12.0883	37.4287	12.2803	2.66736	1.37209	0.602093
37.2183	12.1024	3.273	0.592047	0.149679	37.4973	12.2943	37.4287	12.2803	2.66736	1.37209	1.49126
40.3099	13.4639	4.07736	0.281624	-0.149651	40.3285	13.4666	40.0971	13.6505	2.66232	1.36459	0.782434
40.226	13.428	3.31141	0.240074	-0.198948	39.9009	13.6243	40.0971	13.6505	2.66232	1.36459	1.95345
42.7684	14.8208	3.29564	0.579788	0.147357	42.7664	14.8294	42.7638	15.0065	2.65515	1.33938	0.401411
42.7439	14.8143	3.33465	0.5716	0.137077	42.5714	14.9817	42.7638	15.0065	2.65515	1.33938	0.188
45.3482	16.5493	3.80904	0.581526	0.0541101	45.3572	16.5524	45.4265	16.3307	2.64546	1.29701	0.171551
45.3834	16.5613	3.46641	0.604619	0.124118	45.649	16.5213	45.4265	16.3307	2.64546	1.29701	1.00692
48.1514	17.2917	3.16244	0.153708	-0.241448	48.1541	17.2835	48.0823	17.6063	2.6326	1.23832	0.4866
48.1245	17.2819	2.98758	0.14133	-0.262468	47.9331	17.5349	48.0823	17.6063	2.6326	1.23832	0.210602
50.6192	19.054	3.12847	0.874555	0.379015	50.6228	19.0721	50.7276	18.8172	2.61569	1.16454	1.46792
50.6007	19.0377	3.29779	0.813566	0.296606	50.5737	18.7834	50.7276	18.8172	2.61569	1.16454	0.269022
53.7111	19.9117	2.8662	0.0748508	-0.383988	53.7268	19.8982	53.3577	19.9486	2.59372	1.07716	2.05242
53.6787	19.9067	2.90784	0.104517	-0.343274	53.5277	19.862	53.3577	19.9486	2.59372	1.07716	0.353432
56.0336	21.0771	2.74829	0.540139	0.159478	56.0322	21.0923	55.9669	20.9874	2.56561	0.978022	0.96215
56.0042	21.0622	2.81387	0.512445	0.131006	55.867	20.985	55.9669	20.9874	2.56561	0.978022	0.345248
58.6509	21.7871	3.19186	0.118188	-0.209141	58.6632	21.7821	58.5484	21.9225	2.53033	0.869205	0.517641
